type,impact_x_m,impact_y_m
monte_carlo,-17241.26810123535,-29507.64358393315
monte_carlo,-19152.620113349825,-24536.4775221323
monte_carlo,-21278.81869394587,-27501.305940985003
monte_carlo,-14660.510914535846,-27658.136422495638
monte_carlo,-18236.590796410685,-29569.560067742903
monte_carlo,-18577.31003967662,-32483.121888694575
monte_carlo,-21371.55059896259,-36961.05430960681
monte_carlo,-26860.031478236586,-31252.77730804441
monte_carlo,-10552.3953113085,-15498.244261715385
monte_carlo,-24963.317265308808,-23129.28910580234
monte_carlo,-17869.705459481716,-36324.14222924217
monte_carlo,-21940.48205421901,-23391.537819182806
monte_carlo,-23003.484498372804,-28446.76668879616
monte_carlo,-21096.040968744608,-36929.95532157091
monte_carlo,-22278.010372403576,-34027.54329622234
monte_carlo,-29919.643495892862,-35142.635003742354
monte_carlo,-14952.328358063243,-23095.496736289304
monte_carlo,-19539.626847543055,-31051.196441985856
monte_carlo,-20183.39519802715,-33510.3310203646
monte_carlo,-19814.29326289985,-36441.92548522995
deterministic,-20641.199859377433,-30115.08488115668
