type,impact_x_m,impact_y_m
monte_carlo,-3750.602640656923,-6026.41812477576
monte_carlo,-2470.859103504382,-8698.019635606772
monte_carlo,-2651.9432551614836,-9143.566387676656
monte_carlo,-3331.9144363244836,-7392.896105308053
monte_carlo,-3479.977703008209,-4624.547551719776
monte_carlo,-5507.354841277219,-10295.065983470979
monte_carlo,-4101.17171826718,-8224.531086660592
monte_carlo,-6165.497379629358,-8485.467630128473
monte_carlo,-3348.2048853832143,-8763.087416542216
monte_carlo,-6290.462808569988,-8263.776802920818
monte_carlo,-6916.172752572878,-6774.296136495833
monte_carlo,-4071.7109806816225,-8197.558317643907
monte_carlo,-4349.251260156729,-9135.226682494482
monte_carlo,-4226.365327884125,-7808.857205638595
monte_carlo,-3757.1165065431323,-9320.864152525324
monte_carlo,-5067.29631077048,-9475.706903634838
monte_carlo,-4818.868476007605,-8254.54435521234
monte_carlo,-5611.247662899218,-5559.447028023274
monte_carlo,-4061.7399469233064,-10719.99626874117
monte_carlo,-7009.539944559048,-11782.130678208185
deterministic,-4871.20441607034,-8161.886676292924
